,judul,tanggal_berita,paragraf,tanggal_scraped
10,Kepala Kemenag Gresik Nonaktif: Saya Tak Memiliki Kemampuan Finansial..,"24/07/2019, 15:27 WIB","- Kepala Kantor Kementerian Agama (Kemenag) Kabupaten Gresik nonaktif, Muafaq Wirahadi merasa tuntutan 2 tahun penjara dan denda Rp 150 juta subsider 6 bulan kurungan yang diajukan jaksa Komisi Pemberantasan Korupsi (KPK) sangat berat.
Muafaq merupakan terdakwa kasus dugaan suap terkait seleksi jabatan di Kemenag Jawa Timur.
""Hal tersebut terasa sangat berat bagi saya. Oleh karena itu saya memohon kepada majelis hakim untuk kiranya menjatuhkan hukuman pidana penjara yang lebih ringan dan memberikan keringanan atas denda karena saya tidak memiliki kemampuan finansial untuk memenuhi,"" kata Muafaq saat membacakan nota pembelaan di Pengadilan Tindak Pidana Korupsi, Jakarta, Rabu (24/7/2019).


            googletag.cmd.push(function() { googletag.display('div-gpt-ad-974648810682144181-5112'); });
        


Muafaq juga berlasan tuntutan tersebut dirasa berat karena dirinya bertanggung jawab menafkahi keluarga dan membiayai pendidikan anak-anaknya. Oleh karena itu, ia berharap majelis hakim menjadikan hal tersebut sebagai pertimbangan dalam putusan.
""Izinkan juga saya menyampaikan kerinduan saya kepada istri tercinta dan anak-anak saya. Saya sangat sedih karena tidak mampu berada di samping mereka karena keterbatasan ruang kebebasan saya saat ini. Sungguh saya sadari peristiwa ini melukai hati dan hari-hari mereka,"" kata Muafaq.

Terakhir, ia juga merasa menyesal atas perbuatannya memberikan uang ke anggota DPR Ri sekaligus mantan Ketua Umum PPP  Romahurmuziy. Muafaq merasa pemberian itu tak dimaksudkan untuk menyuap Romahurmuziy.
Melainkan sebagai bentuk terima kasih karena Romahurmuziy telah membantunya mendapatkan jabatan sebagai Kepala Kantor Kemenag Kabupaten Gresik.
""Dengan hati yang penuh kesadaran saya mengakui bersalah, lalai dan menyesal semoga ini menjadi pelajaran bagi saya,"" kata dia.

Sebelumnya, jaksa menilai Muafaq terbukti menyuap Romahurmuziy atau Romy sebesar Rp 91,4 juta secara bertahap dalam periode Januari hingga 15 Maret 2019.
Menurut jaksa, uang tersebut diberikan karena Romy secara langsung atau tidak langsung mampu memengaruhi proses pengangkatan Muafaq sebagai Kepala Kantor  Kemenag Gresik.
Awalnya, Muafaq mengetahui bahwa namanya tidak masuk dalam daftar calon kepala kantor Kemenag. Muafaq kemudian menghubungi Abdul Rochim yang merupakan sepupu Romy.

Muafaq meminta agar dia dikenalkan dengan Romy. Selanjutnya, Muafaq menemui Romy di sebuah hotel di Surabaya. Muafaq meminta Romy membantu dia agar diangkat sebagai kepala kantor Kemenag.
Menurut jaksa, atas permintaan itu, Romy pun menyanggupinya.",2019-08-31
11,Citi Indonesia Bekali Kemandirian Finansial untuk Generasi Muda,"25/07/2019, 15:21 WIB","Citi Indonesia bersama Indonesia Business Links (IBL), kembali mengadakan program Skilled Youth ke-3. Program tersebut bertujuan untuk membekali kemandirian  finansial kepada  generasi muda Indonesia, melalui pelatihan yang diberikan. “Melalui Skilled Youth Program tahap III ini, kalangan muda Indonesia berpeluang meraih kesempatan ekonomi lebih baik, berkat peningkatan kompetensi diri yang telah diperoleh, sehingga siap menjadi tenaga kerja ataupun  wirausahawan muda andal,” ujar Batara Sianturi, Chief Executive Officer Citi Indonesia, pada Kamis (25/7/2019) di Jakarta.  Skilled Youth Program tahap III tersebut diikuti oleh 384 generasi muda yang berusia 15 sampai 24 tahun, sepanjang periode Agustus 2018 sampai Juli 2019. Dalam program tersebut, para peserta dilatih melalui berbagai aktivitas meliputi literasi finansial, penguatan karakter dan perilaku, pelatihan keterampilan teknis dan kewirausahaan, serta pendampingan pencarian kerja dan monitoring usaha. Dalam hal tersebut, Citi juga menggandeng berbagai pihak antara lain, lembaga pelatihan, pemerintah,  pelaku bisnis lokal, untuk menciptakan lingkungan yang kondusif bagi pemberdayaan kalangan muda.
 “Kami percaya, tingkat pengangguran pada kalangan muda bisa teratasi apabila sektor bisnis, pemerintah, organisasi masyarakat dan akademisi dapat bekerja sama sinergis,” ujar Direktur Eksekutif Indonesia Business Links, Mohammad Fahmi.",2019-08-31
12,"Agar Anak Sukses Finansial, Ayah dan Ibu Harus Lakukan Ini","23/07/2019, 13:07 WIB","Sebagai orang tua, Anda tentu berharap agar buah hati Anda meraih  kesuksesan di masa mendatang. Ini tanpa kecuali adalah kesuksesan secara  finansial.
Namun, Anda sebaiknya tidak ""menyuapi""  anak dengan harta agar meraih kesuksesan finansial. Sebaliknya, Anda harus mendidik anak agar ia dapat mencapai kesuksesan finansial dengan jerih payahnya sendiri.
Nah, bagaimana caranya?
Dikutip dari Forbes, Selasa (23/7/2019), untuk mempersiapkan anak mencapai kesuksesan finansial, penting bagi Anda sebagai orang tua memulai dengan pertanyaan ""mengapa.""  Anak harus tahu bahwa ayah dan ibu bangun pagi setiap hari dan berangkat kerja untuk memperoleh penghasilan alias  uang.

Jelaskan pada anak bahwa makanan yang dia santap, pakaian yang dikenakannya, dan listrik yang menerangi rumah setiap hari harus diperoleh dengan uang. Anda mungkin akan terkejut bahwa anak awalnya tidak percaya dengan apa yang Anda jelaskan.
Selain itu, penting juga mengajari anak pentingnya menyusun anggaran dan  menabung sejak dini. Apakah Anda menyadarinya atau tidak, anak mengamati cara Anda memperoleh, membelanjakan, dan menginvestasikan waktu serta uang Anda.
Sebagai orang tua, Anda memiliki kewajiban untuk tidak fokus pada apa yang diinginkan anak, namun apa yang dibutuhkan anak. Ajari mereka bahwa untuk memperoleh sesuatu yang mereka inginkan, mereka butuh  bekerja terlebih dahulu.

Kemudian, soal  uang saku. Dalam bukunya yang berjudul Smart Money Smart Kids, penasihat finansial Dave Ramsey menyatakan dia tidak percaya dengan memberikan anak uang saku.
Sebab, bukan seperti itu cara mengajari anak tentang cara kerja kehidupan. Dengan diberi uang saku, kata Ramsey, maka anak akan berpikir bahwa uang dapat diberikan secara cuma-cuma.
""Memberikan uang dan tak mengajari kebiasaan bekerja keras akan menciptakan oranh yang cengeng dan manja,"" ujar Ramsey.
Menurut rekomendasi Ramsey, tidak ada salahnya anak mengetahui istilah ""komisi."" Jelaskan pada anak tentang dari mana datangnya uang, yakni dari hasil bekerja.

Semakin dini anak mengetahui konsep ini, maka anak akan memiliki pemahaman yang lebih baik terkait hubungan antara bekerja dan uang. Jadi, jika anak membutuhkan uang saku, anak akan memperoleh komisi ini setelah melakukan tugas tertentu.
Tugas itu tak perlu berat, misalnya membereskan tempat tidur, membersihkan kamarnya sendiri, mengerjakan PR dengan baik, atau membantu Anda di dapur.",2019-08-31
13,"Optimalisasi Bisnis, SMF Teken Kerja Sama dengan Korea HUG","16/07/2019, 15:31 WIB","Guna mengoptimalkan bisnis pembiayaan perumahan di Indonesia, PT Sarana Multigriya Finansial (Persero) atau  SMF menjalin kolaborasi sinergis dengan Korean Housing and Urban Guarantee Corporation (HUG).
Penandatanganan nota kesepahaman dilakukan oleh Direktur Utama SMF Ananta Wiyogo, dan Presiden HUG Lee Chae-Kwang, di Jakarta, Selasa (16/7/2019).
""Kerja sama ini terkait pertukaran informasi seputar kebijakan perumahan dan jaminan atau sistem pembiayaan perumahan. Bisnis mereka kan guarantee, kami ingin mengadopsi konsep-konsep yang bisa diterapkan di Indonesia,"" tutur Ananta menjawab Kompas.com. 
Sinergi dengan Korean HUG, menurut Ananta, karena pengalaman mereka dalam membantu memecahkan persoalan industri perumahan di Kazakhstan, dan Vietnam.
Di Indonesia, backlog perumahan masih sangat tinggi, dan akan terus bertambah seiring pertumbuhan populasi yang diprediksi mencapai 305,65 juta pada 2035, serta meningkatnya urbanisasi.

Pemerintah sendiri dalam rencana pembangunan jangka menengah (RPJM) menargetkan penurunan backlog sebesar 5 juta pada tahun 2019 ini.
Terkait hal itu, Korean HUG yang menjalani guarantee dan pengelolaan dana perumahan dan permukiman (NHUF) sebagai bisnis utamanya, telah berhasil membantu lebih dari 12 juta rumah tangga.
Mereka dapat memiliki rumah melalui skema guarantee, dengan total nilai jaminan mencapa 1.183 triliun Won Korea atau ekuivalen Rp 13,9 triliun.
Ananta berharap melalui kerja sama ini akan didapatkan langkah awal dan dasar bagi kedua belah pihak dalam melakukan penelitian, berbagi informasi, dan berbagi pengetahuan, yang berkaitan erat dengan pembiayaan perumahan, khususnya untuk masyarakat berpenghasilan rendah (MBR).
Sementara itu, Presiden HUG Lee Chae-Kwang mengatakan SMF dan HUG memiliki kesamaan peran dalam mendukung pengembangan industri perumahan.",2019-08-31
14,Utang China Tembus 300 Persen dari PDB,"18/07/2019, 16:37 WIB","Utang China telah menembus 300 persen dari produk domestik bruto (PDB). Ini menurut data Institute of International Finance (IIF).
Dilansir dari Reuters, Kamis (18/7/2019), total  utang korporasi, rumah tangga, dan pemerintah China meningkat menjadi 303 persen dari PDB pada kuartal I 2019. Angka ini lebih tinggi dibandingkan 297 persen pada periode yang sama tahun 2018. 
Data tersebut berdasarkan laporan IIF yang dirilis pekan ini, yang menyoroti kenaikan tingkat utang global. IIF merupakan asosiasi industri  finansial global swasta yang berpusat di Washington DC. 
""Sementara upaya otoritas untuk menekan pinjaman shadow banking (khususnya bagi perusahaan-perusahaan kecil) telah mendorong pengurangan utang korporasi nonfinansial, pinjaman bersih di sektor lain telah membuat total utang China mencapai lebih dari 40 triliun dollar AS atau sekitar 15 persen dari total utang global,"" tulis IIF dalam laporannya. 

 Pertumbuhan ekonomi China melambat menjadi 6,2 persen pada kuartal II 2019. Angka ini merupakan level terendah dalam 27 tahun, sejalan dengan perlambatan di dalam negeri dan luar negeri dan dampak tekanan perang dagang AS. 
Untuk menghidupkan kembali investasi dan melindungi lapangan kerja, pemerintah China telah mendorong perbankan menyalurkan kredit lebih tinggi, khususnya bagi perusahaan kecil yang terlunta-lunta. Pemerintah China juga memangkas pajak dan menggelontorkan belanja infrastruktur. 
Sepanjang semester I 2019, total emisi obligasi pemerintah daerah mencapai 2,1765 triliun yuan atau 316,5 miliar dollar AS, kata Kementerian Keuangan pada Selasa (16/7/2019) lalu.
Berulang kali, pemerintah China menyatakan  risiko utang secara umum dapat dikelola dengan baik.",2019-08-31
15,Begini Cara Bangkit dari Krisis Finansial Berkepanjangan,"08/03/2019, 09:45 WIB","Bingung menghadapi krisis  finansial yang tak ada hentinya? Merasa bahwa Anda tidak bisa keluar dari krisis tersebut?
Jangan khawatir, banyak orang yang berhasil keluar dari krisis finansialnya sendiri. Bila mereka bisa, Anda pun bisa melakukannya. Simak tipsnya di bawah ini dilansir dari CNBC, Jumat (8/3/2019).  Melacak pengeluaran atau mencatat setiap  uang yang keluar merupakan ide yang tepat. Dari catatan tersebut, Anda akan mengetahui seberapa banyak uang yang telah Anda anggarkan untuk kebutuhan Anda. Bisa jadi, masih banyak  anggaran-anggaran yang sebenarnya tidak perlu dan tidak mendesak. ""Orang tidak menyadari bahwa mereka bisa menghabiskan banyak uang dalam sebulan hanya untuk makan di luar rumah,"" kata Lance Cothen, pendiri The Money Manifesto. Jadikan menabung sebagai prioritas, bukan omongan semata. Menurut Muhammad Andoko, seorang Commisioner dan penulis buku, uang tabungan harus disisihkan bukan disisakan setelah kebutuhan dan keinginan lainnya terpenuhi.
Dengan menabung, kebutuhan mendesak lainnya bisa ditangani.",2019-08-31
16,"Gandeng Perencana Keuangan, Go-Jek Gelar Pelatihan Finansial untuk Mitra","05/04/2019, 16:17 WIB","- Selain mengadakan pelatihan Pengembangan Layanan Prima, Gojek juga menghadirkan pelatihan Pengembangan Kemampuan Diri, yakni pengelolaan keuangan dan wirausaha. Menurut Monita Moerdani, VP Transport Marketing Gojek, pelatihan ini seiring dengan banyaknya mitra yang ingin memperoleh pendapatan tambahan dari hobi. ""Dari survei yang dilakukan ke 645 mitra driver Gojek, kami menemukan 90 persen mitra ingin memperoleh pendapatan tambahan dari hobi yang biasa mereka lakukan, dan banyak yang ingin punya usaha kuliner. Sehingga kami hadirkan pelatihan ini untuk menumbuhkan jiwa wirausaha,"" Monita Moerdani, VP Transport Marketing Gojek di Jakarta, Jumat (5/4/2019). Tidak hanya menumbuhkan wirausaha, Gojek juga akan membantu mitra mengelola pemasukan tersebut. Pengelolaan pemasukan ini bekerja sama dengan Jouska, salah satu perusahaan independen yang melayani personal finance planning.
Sementara itu, CO-CEO Jouska Farah Dini Novita, mengatakan, pelatihan ini tak hanya meningkatkan taraf hidup mitra, tetapi juga mengangkat kesejahteraan keluarganya. Selain itu oara mitra yang telah dibekali pelatihan juga akan lebih mengerti cara mengatur keuangan. Dalam pelatihan keuangan ini, papar Farah, mitra akan diajari cash flow management, persiapan dana darurat, dan persiapan tabungan. ""Kami ajari cash flow management, kami ajak berpikir mitra apa yang bisa ditabung kalau cash flow-nya minus. Kalau mereka bisa mengatur cash flow, mereka bisa naik kelas dan mensejahterakan keluarga,"" ujar dia.
""Mereka juga harus punya gambaran dana darurat dan tabungan darurat. Supaya mereka jadi tahu dan bisa aware ke depan, tidak hanya memikirkan hari ini,"" tambahnya. Selanjutnya, dengan diadakannya pelatihan ini, Farah berharap mitra driver  akan lebih mempunyai pengetahuan dan bisa mempraktikkannya langsung di kehidupan sehari-hari, agar tidak kalah dengan pekerja kantoran yang lain.",2019-08-31
17,"Tak Disiplin Atur Keuangan, Apa Jadinya Jika Anda Gajian Lebih Awal?","03/04/2019, 08:00 WIB","Sudah menjadi kebiasaan atau lumrah  gaji dibayar perusahaan kepada pegawai di akhir bulan.
Namun, apa jadinya jika Anda lebih awal memperoleh gaji atau pendapatan? Apakah Anda sudah siap? Perencana  keuangan Imelda Tarigan mengatakan, pada dasarnya tidak ada dampak dan pengaruhnya pada seseorang jika mendapatkan gaji lebih awal. Ini khusus bagi mereka yang disiplin mengatur keuangan. Namun, ini tak berlaku bagi mereka yang tak disiplin mengatur keuangan.
 ""Kalau memang orangnya 'angin-anginan', kalau terima duit terus enggak ada perencanaan, terus hajar (gunakan), itu lebih lambat atau cepat, tetap sama saja. Habis juga,"" kata Imelda kepada Kompas.com, Selasa (2/4/2019). Menurut dia, pada prinsipnya mengelola keuangan harus disiplin. Sebab, seseorang yang punya perencanaan yang baik dapat menggunakan uangnya dengan bijak serta sesuai kebutuhan.  ""Jadi begitu terima uang, sudah punya planning, misalnya 10 persen untuk ibadah sosial. Itu kita terima lebih awal atau belakangan (gajinya), yang 10 itu tetap disisihkan duluan,"" ujarnya. ""Kalau orangnya selebor, enggak pernah ngatur duit, mau gajian lebih awal dan belakang, tetap habis,"" tambahnya.
 Dia menjelaskan, mendapat gaji lebih awal dari tanggal normal, sangat rentan bagi mereka yang tidak punya kedisiplinan mengatur keuangan.  Gaji tersebut akan tetap habis dan bahkan bisa lebih cepat habisnya.",2019-08-31
18,"Pasien Diabetes Indonesia Kurang Patuhi Anjuran Medis, Ini Dampaknya","28/02/2019, 17:02 WIB","Sebuah studi terbaru di Australia menunjukkan sejumlah warga Indonesia yang memiliki  diabetes belum tentu mengikuti rekomendasi pihak  medis, karena sejumlah faktor seperti kondisi  finansial.
Kebanyakan dari mereka juga pertama kali mendapatkan informasi soal gula dan diabetes dari keluarga dan teman-temannya, demikian penemuan lainnya dalam studi tersebut.
Penelitian ini dilakukan oleh Titan Ligita dari Universitas Tanjungpura, Pontianak yang juga baru menyelesaikan program Doktor di James Cook University dan telah dimuat di jurnal sains internasional PLOS One bersama sejumlah akademisi lainnya.
""Jadi ada pasien yang memang mendapatkan informasi dan terapi dari dokter, tapi setelah itu mereka mendapatkan terapi dari orang lain,"" kata Titan kepada ABC Indonesia.

Titan mangatakan kasus diabetes di Indonesia tergolong tinggi dan cenderung meningkat
Sejumlah bukti menunjukkan pasien diabetes lebih memilih tidak mengikuti petunjuk medis salah satunya karena lokasi tempat tinggal yang jauh dari layanan kesehatan. Sebab itu,banyak dari mereka lebih memilih mengikuti saran keluarga atau teman.
""Selain itu ada pula alasan-alasan  psikologi seperti rasa ketakutan disuntik insulin,"" jelas Titan.
Di antara responden yang terlibat dalam studi mengaku bahwa mereka tidak mengalami kemajuan dalam kesehatannya.
Menanggapi masalah tersebut, Titan mencoba mencari tahu dan menemukan bahwa ternyata masalah disebabkan oleh pasien sendiri.
Misalnya pasien tidak minum obat dan olah raga secara teratur seperti yang dianjurkan dokter, tapi beralih ke saran yang dianjurkan saudara atau teman padalah belum jelas manfaatnya.",2019-08-31
19,"Danai 765.000 Debitur KPR, SMF Catat Peningkatan Kinerja","10/04/2019, 13:28 WIB","PT Sarana Multigriya Finansial (Persero) atau  SMF mencatat peningkatan kinerja sepanjang 2018.
Khusus untuk pembiayaan perumahan, SMF telah membiayai 765.000 debitur KPR yang terbagi atas 86,05 persen wilayah barat, 13,52 persen wilayah tengah dan sisanya sebesar 0,43 persen wilayah timur.
Direktur Utama SMF Ananta Wiyogo menuturkan, dalam memperkuat perannya sebagai special mission vehicle (SMV) serta fiscal tools Pemerintah, SMF juga aktif melakukan inisiasi beberapa produk dan program.
Di antaranya pembiayaan perumahan korban terdampak bencana melalui program KPR SMF Paska Bencana, penurunan beban fiskal, program pembiayaan homestay di 4 destinasi wisata, dan program pembangunan rumah di daerah kumuh di 32 kota.
""Pada inisiasi pertama yaitu program penurunan beban fiskal direalisasikan melalui pemberian dukungan kepada Pemerintah dalam program KPR FLPP,"" ujar Ananta dalam keterangan tertulis kepada Kompas.com, Rabu (10/4/2019).

SMF berperan membiayai porsi 25 persen pendanaan KPR FLPP, sehingga Pemerintah hanya menyediakan 75 persen dari total pendanaan FLPP dari semula yang sebesar 90 persen.
Sejak Agustus 2018 hingga saat ini, SMF telah menyalurkan dana KPR FLPP, kepada 28.932 debitur dengan total penyaluran dana sebesar Rp 948 miliar.
Dana KPR FLPP ini disalurkan melalui 10 bank yang merupakan bagian dari realisasi Program FLPP 2018 sebesar Rp 5,896 triliun.
Dengan adanya dukungan SMF, jumlah rumah yang akan dibiayai meningkat dari semula 23.763 unit pada 2017 menjadi 57.949 pada 2018.
Hilda B Alexander/Kompas.com Homestay di Desa Wisata Samiran, Boyolali, Jawa Tengah.Program kedua yaitu pembiayan homestay di destinasi wisata. Program ini merupakan bentuk dukungan SMF dalam pengembangan kawasan wisata untuk meningkatkan devisa. SMF bekerjasama dengan BUMDes sebagai lembaga penyalur dan kelompok sadar wisata.",2019-08-31
20,Survei: Wanita Cenderung Serahkan Keputusan Finansial pada Pasangan,"28/03/2019, 13:25 WIB","- Ketika berbicara tentang  mengelola uang, kita mungkin membuat kesalahan finansial yang krusial. Sebuah survei menyebut bahwa sebenarnya wanita kurang aktif dalam pengambilan keputusan  keuangan.
Menurut studi dari UBS Global Wealth Managenent, 58 persen wanita tidak berperan aktif dalam pengambilan keputusan keuangan. Wanita cenderung menyerahkannya kepada pasangannya. Dilansir dari CNBC, Kamis (28/3/2019), dari angka 58 persen tersebut, 56 persen wanita berumur 20-34 tahun cenderung tunduk dengan keputusan yang diambil pasangannya maupun orang lain secara signifikan. Sementara itu, 54 persen wanita berusia 51 tahun ke atas mengatakan mereka menyerahkan keputusan uang kepada  pasangan mereka.  Kebiasaan buruk ini dapat menempatkan wanita dalam risiko finansial, terutama jika mereka bercerai atau pasangan mereka meninggal. Di sisi lain, penelitian UBS menemukan, ketika wanita tidak menyerahkan keputusan keuangan kepada pasangannya dan lebih memilih mengatur keuangan bersama pasangan, prospeknya membaik.  Bahkan, studi tersebut juga mencatat wanita yang mengatur keuangan bersama lebih percaya diri dengan masa depan keuangan keluarga, lebih bisa menghemat uang, dan tidak stres. Oleh karena itu, para pakar keuangan menyarankan untuk memulai percakapan ringan tentang keuangan dalam rumah tangga dimulai dari percakapan sederhana oleh pasangan.",2019-08-31
21,Manchester City Kembali Bermasalah Soal Transparansi Finansial,"05/03/2019, 06:30 WIB","- Performa  Manchester City tampak kembali ke jalur benar. Akan tetapi, kubu Manchester Biru menarik pemberitaan kurang sedap di luar lapangan.
Media Jerman, Der Spiegel, mengeluarkan beberapa temuan Football Leaks soal dugaan pelanggaran klub dalam hal transparansi finansial dan transfer pemain.
Pertama adalah soal investigasi mengenai dugaan penggelembungan dana sponsor.
Pemilik klub, Sheikh Mansour bin Zayed Al Nahyan, diyakini telah mengeluarkan hingga 1 miliar pounds (Rp 18 triliun) lebih untuk membiayai klub dalam bentuk pembelian pemain dan pembangunan infrastruktur sejak 2008.

Der Spiegel mendapatkan salinan surat elektronik salah satu direktur Manchester City, Simon Pearce, ke Aabar, suatu perusahaan investasi asal Abu Dhabi yang menjadi salah satu sponsor klub.
Pada 2010, Aabar menandatangani kontrak sponsorship senilai 15 juta pounds per musim.
Namun, Aabar hanya membayar 3 juta pounds dengan sisanya dibiayai oleh Sheikh Mansour melalui ""sumber-sumber lain"".
Ada juga surat elektronik yang menyatakan bahwa sumbangan-sumbangan dana sang pemilik harus melewati perusahaan-perusahaan asal Abu Dhabi yang menjadi sponsor klub.
Menurut surat elektronik dari Pearce ke Chief Financial Officer Manchester City, Jorge Chumillas, ""Sumbangan Rekanan"" merupakan sebutan bagi aliran dana ke para sponsor yang nantinya mengalir ke City.",2019-08-31
22,Survei: Milenial Merasa Menghadapi Lebih banyak Kesulitan Finansial,"23/04/2019, 08:10 WIB","- Mayoritas dari generasi  milenial yang berusia 23 hingga 38 tahun merasa dirinya dihadapkan pada kondisi keuangan yang lebih sulit dibandingkan dengan beberapa generasi sebelumnya. Berdasarkan hasil survei yang dilakukan oleh GoBankingRates.com dan dikutip dari FoxBusiness, Selasa (23/4/2019), sebanyak 68 persen millenial memilih setuju atau sangat setuju mengenai banyaknya serta sulitnya masalah keuangan yang harus mereka hadapi dibandingkan generasi sebelumnya. Tak hanya merasa harus berhadapan dengan iklim ekonomi yang dirasa kian buruk, milenial juga merasa dihadapkan pada pasar tenaga kerja yang lebih sulit jika dibandingkan dengan Silent Generation (yang berusia 74-91 tahun),  Baby Boomers (berusia 55-73 tahun), dan Generasi X (berusia 39-54 tahun).
 Pada survei tersebut ditunjukkan, sebanyak 49,21 persen millenial merasa generasinyalah yang harus berhadapan dengan iklim ekonomi yang paling buruk di Amerika Serikat.
Sementara, sebesar 29,3 persen millenial memilih silent generation (yang berusia 79-91 tahun) yang harus menghadapi kondisi ekonomi terburuk. Adapun berdasarkan data yang dilakukan oleh tim riset, setiap generasi harus berhadapan dengan kesulitan finansial.  Seperti mllenial yang dihadapkan pada Great Recession di 2008, kemudian silent generation dan anak-anaknya yang dihadapkan pada era Great Depression di 1930 dan Baby Boomers yang harus dihadapkan pada kondisi ekonomi sulit juga tingkat pengangguran yang tinggi di 1980. Sebanyak 74,1 persen milenial pun merasa kesulitan untuk bisa membeli rumah.Angka ini jauh lebih besar jika dibandingkan Generasi X sebesar 11,1 persen, Baby Boomers 7,9 persen dan Silent Generation (6,9 persen).",2019-08-31
